"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"DT.NFL.PNGC.CD","PNG, commercial banks and other creditors (NFL, current US$)","Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics, note: https://www.worldbank.org/en/programs/debt-statistics",
"DT.NFL.PNGB.CD","PNG, bonds (NFL, current US$)","Nonguaranteed long-term debt from bonds that are privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics, note: https://www.worldbank.org/en/programs/debt-statistics",
"DT.NFL.PCBO.CD","Commercial banks and other lending (PPG + PNG) (NFL, current US$)","Commercial bank and other lending includes net commercial bank lending (public and publicly guaranteed and private non- guaranteed) and other private credits. Data are in current U.S. dollars.

Proposed: Commercial bank and other lending includes net commercial bank and other private creditors lending excluding bonds (public and publicly guaranteed + private nonguaranteed).","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",
"DT.NFL.PCBK.CD","PPG, commercial banks (NFL, current US$)","Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.PBND.CD","PPG, bonds (NFL, current US$)","Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.OFFT.CD","PPG, official creditors (NFL, US$)","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.NIFC.CD","IFC, private nonguaranteed (NFL, US$)","Nonguaranteed long-term debt privately placed from the International Finance Corporation (IFC). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.MOTH.CD","Net financial flows, others (NFL, current US$)","Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Others is a residual category in the World Bank's Debtor Reporting System. It includes such institutions as the Caribbean Development Fund, Council of Europe, European Development Fund, Islamic Development Bank, Nordic Development Fund, and the like. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.MLAT.CD","Net financial flows, multilateral (NFL, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.MIDA.CD","Net financial flows, IDA (NFL, current US$)","Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IDA is the International Development Association, the concessional loan window of the World Bank Group. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.MIBR.CD","Net financial flows, IBRD (NFL, current US$)","Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IBRD is the International Bank for Reconstruction and Development, the founding and largest member of the World Bank Group. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.IMFN.CD","Net financial flows, IMF nonconcessional (NFL, current US$)","Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides nonconcessional lending through the credit it provides to its members, mainly to meet balance of payments needs. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.IMFC.CD","Net financial flows, IMF concessional (NFL, current US$)","Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides concessional lending through the Poverty Reduction and Growth Facility and the IMF Trust Fund. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.DPNG.CD","Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",
"DT.NFL.BOND.CD","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","Bonds are securities issued with a fixed rate of interest for a period of more than one year. They include net flows through cross-border public and publicly guaranteed and private nonguaranteed bond issues. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.NFL.BLAT.CD","Net financial flows, bilateral (NFL, current US$)","Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.PVLX.GN.ZS","Present value of external debt (% of GNI)","Present value of external debt to gross national income. Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. The GNI denominator is a three-year average.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",
"DT.DOD.PVLX.EX.ZS","Present value of external debt (% of exports of goods, services and primary income)","Present value of external debt to exports of goods, services and income. Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. The exports denominator is a three-year average.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",
"DT.DOD.PVLX.CD","Present value of external debt (current US$)","Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB), uri: https://www.worldbank.org/en/programs/debt-statistics",
"DT.DOD.MWBG.CD","IBRD loans and IDA credits (DOD, current US$)","IBRD loans and IDA credits are public and publicly guaranteed debt extended by the World Bank Group. The International Bank for Reconstruction and Development (IBRD) lends at market rates. Credits from the International Development Association (IDA) are at concessional rates. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.MIDA.CD","PPG, IDA (DOD, current US$)","Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.MIBR.CD","PPG, IBRD (DOD, current US$)","Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 35 percent or more. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DSTC.ZS","Short-term debt (% of total external debt)","Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DSTC.XP.ZS","Short-term debt (% of exports of goods, services and primary income)","Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DSTC.IR.ZS","Short-term debt (% of total reserves)","Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total reserves includes gold.","World Development Indicators, World Bank (WB);
International Monetary Fund (IMF), type: Balance of Payments Statistics Yearbook and data files;
World Bank (WB), type: GDP estimates;
Organisation for Economic Co-operation and Development (OECD), type: GDP estimates",
"DT.DOD.DSTC.CD","External debt stocks, short-term (DOD, current US$)","Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DPPG.CD","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government,  Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises, political subdivisions (or an agency of either), autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DPNG.CD","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DLXF.CD","External debt stocks, long-term (DOD, current US$)","Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DIMF.CD","Use of IMF credit (DOD, current US$)","Use of IMF Credit: Data related to the operations of the IMF are provided by the IMF Treasurer’s Department. They are converted from special drawing rights into dollars using end-of-period exchange rates for stocks and average-over-the-period exchange rates for flows. IMF trust fund operations under the Enhanced Structural Adjustment Facility, Extended Fund Facility, Poverty Reduction and Growth Facility, and Structural Adjustment Facility (Enhanced Structural Adjustment Facility in 1999) are presented together with all of the IMF’s special facilities (buffer stock, supplemental reserve, compensatory and contingency facilities, oil facilities, and other facilities). SDR allocations are also included in this category. According to the BPM6, SDR allocations are recorded as the incurrence of a debt liability of the member receiving them (because of a requirement to repay the allocation in certain circumstances, and also because interest accrues). This debt item is introduced for the first time this year with historical data starting in 1999.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DECT.GN.ZS","External debt stocks (% of GNI)","Total external debt stocks to gross national income. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad.","International Debt Statistics, World Bank (WB)",
"DT.DOD.DECT.CD","External debt stocks, total (DOD, current US$)","Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Data are in current U.S. dollars.","International Debt Statistics, World Bank (WB)",
"BX.TRF.PWKR.CD.DT","Personal remittances, received (current US$)","Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.","IMF balance of payments data, International Monetary Fund (IMF);
Staff estimates, World Bank (WB)",
"BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current US$)","Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares, stocks, depository receipts (American or global), and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.","Balance of Payments database, International Monetary Fund (IMF);
International Debt Statistics, World Bank (WB)",
"BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment refers to direct investment equity flows in the reporting economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. Data are in current U.S. dollars.","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources",
"BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current US$)","Exports of goods includes changes in the economic ownership of goods from residents of the compiling economy to non-residents, irrespective of physical movement of goods across national borders. Exports of services includes services provided by residents to non-residents. Primary income represents the return that accrues to institutional units for their contribution to the production process or for the provision of financial assets and renting natural resources to other institutional units. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",
"BX.GRT.TECH.CD.WD","Technical cooperation grants (BoP, current US$)","Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/.",
"BX.GRT.EXTA.CD.WD","Grants, excluding technical cooperation (BoP, current US$)","Grants are transfers made in cash, goods or services for which no repayment is required.  For ODA reporting purposes, they also include forgiveness of non-military debt, support to non-governmental organisations, certain interest subsidies, and certain costs incurred in the implementation of aid. Grants to multilateral agencies intended to soften the terms of the latter’s lending are a direct resource outflow and should also be recorded as ODA grants. For OOF reporting purposes, grants for commercial purposes such as subsidies to national private investors, and grants to forgive military debt, are also included. Grant-like flows are assimilated to grants. They comprise a) loans for which the service payments are to be made into an account in the borrowing country and used in the borrowing country for its own benefit, and b) provision of commodities for sale in the recipient’s currency the proceeds of which are used in the recipient country for its own benefit. Data are in current U.S. dollars.","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/., publisher: Organisation for Economic Co-operation and Development (OECD)",
"BN.CAB.XOKA.CD","Current account balance (BoP, current US$)","Balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",
"BM.GSR.TOTL.CD","Imports of goods, services and primary income (BoP, current US$)","Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. Primary income represents the return that accrues to institutional units for their contribution to the production process or for the provision of financial assets and renting natural resources to other institutional units. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",
